brand,model,price,weight,core_thickness_mm,grip_length,rpm,shape,face_material,core_material,swing_weight,twist_weight,year
CRBN,CRBN2 14mm,179.99,256,4.75,14,4.25,Standard,Raw carbon fiber,Polymer Honeycomb,108,6.77,
CRBN,CRBN1 13mm,179.99,255,5.5,13,4.25,Elongated,Raw carbon fiber,Polymer Honeycomb,118,5.46,
CRBN,CRBN1 14mm,179.99,254,5.5,14,4.25,Elongated,Raw carbon fiber,Polymer Honeycomb,120,5.67,
CRBN,CRBN3X 14mm,229.99,253,5.25,14,4.25,Elongated,Raw carbon fiber,Polymer Honeycomb,112,6.1,
CRBN,CRBN3X 16mm,229.99,252,5.25,16,4.25,Elongated,Raw carbon fiber,Polymer Honeycomb,118,6.52,
CRBN,CRBN1 16mm,179.99,222,5.5,16,4.25,Elongated,Raw carbon fiber,Polymer Honeycomb,122,6.02,
CRBN,CRBN2X 14mm,229.99,138,4.75,14,4.125,Standard,Raw carbon fiber,Polymer Honeycomb,103,6.85,
CRBN,CRBN2X 16mm,229.99,137,4.75,16,4.125,Standard,Raw carbon fiber,Polymer Honeycomb,109,7.57,
CRBN,CRBN1X 14mm,229.99,136,5.5,14,4.25,Elongated,Raw carbon fiber,Polymer Honeycomb,117,5.9,
CRBN,CRBN1X 16mm,229.99,135,5.5,16,4.25,Elongated,Raw carbon fiber,Polymer Honeycomb,123,6.45,
CRBN,CRBN2 16mm,179.99,120,4.75,16mm,4.25,Standard,Raw carbon fiber,Polymer Honeycomb,108,7.1,
Crush,Force 5G,199.99,538,5.25,16,4.25,Standard,Raw carbon fiber,Polymer Honeycomb,113,6.86,
Diadem,BluCore Max 16mm,279.99,551,5,16,,Wide body,,EPP Foam,104,7.25,
Diadem,BluCore Pro 19mm,279.99,550,,,,Hybrid,,EPP Foam,117,6.03,
Diadem,Icon Infinity Max,219.95,520,5,13.7,4.125,Wide body,"Carbon Fiber,(Paint Grit)",Polymer Honeycomb,109,7.21,
Diadem,Edge 18k Max,229.95,519,6,16,4.125,Wide body,Raw carbon fiber,Polymer Honeycomb,110,7.51,
Diadem,Edge 18k Max Power,239.95,518,5,16,4.125,Wide body,Raw carbon fiber,Polymer Honeycomb,108,7.61,
Diadem,Edge 18k,229.99,276,5.3,16,4.125,Elongated,Raw carbon fiber,Polymer Honeycomb,117,6.17,
Diadem,Edge 18k Pro Power,229.99,275,5.75,16,4.25,Elongated,Raw carbon fiber,Polymer Honeycomb,121,6.35,
Diadem,Warrior v2,229.95,263,5.3,19,4.125,Elongated,Raw carbon fiber,"Polymer Honeycomb,kevlar",116,,
Diadem,Icon v2,199.99,157,5.5,13.7,4.125,Elongated,Carbon Fiber,"Polymer Honeycomb,kevlar",122,5.72,
Diadem,Warrior Edge,174.95,93,"5.0""",16mm,4.125,Elongated,Raw carbon fiber,Polymer Honeycomb,120.0,6.48,
Diadem,Warrior,189.95,83,5.3,19mm,4.125,Elongated,Carbon Fiber,"Polymer Honeycomb,kevlar",127,,
Diadem,Icon v1,159.95,47,"5.0""",8mm,4.25,Standard,Carbon Fiber,Polymer Honeycomb,107.0,5.89,
Electrum,Pro Stealth,219.99,344,5,12,4.25,Standard,Raw carbon fiber,Polymer Honeycomb,87,5.38,
Electrum,Model E Stealth,219.99,343,5.5,16,4.25,Elongated,Raw carbon fiber,Polymer Honeycomb,112,5.39,
